,mean_ace_0,sd_ace_0,mean_ace_30,sd_ace_30
20,10.3089353004433,0.389479738543603,15.4266711915274,0.623027690626183
22,11.3084848337319,0.426101872683139,15.9089455686152,0.62904128959206
24,12.3093199269067,0.462945996072021,16.3917452399882,0.635553199023834
26,13.3114323997644,0.499962219240236,16.8750701893871,0.642554633863148
28,14.3148140201954,0.537116018992015,17.3589203824223,0.650036113489705
30,15.3194565065084,0.574383369713275,17.843295766608,0.657987567778873
32,16.3253515298299,0.611747589511667,18.3281962714002,0.666398441183164
34,17.3324907165775,0.649197240749718,18.8136218082363,0.675257793177327
36,18.3408656510077,0.68672469749789,19.299572270578,0.684554393695486
38,19.3504678778345,0.724325145844383,19.7860475339577,0.694276812486627
40,20.3612889049178,0.761995871822613,20.2730474560268,0.704413501612495
42,21.3733202060171,0.799735744592821,20.7605718766062,0.714952870568906
44,22.3865532236067,0.837544834807461,21.2486206177408,0.725883353771791
46,23.4009793717457,0.875424128283616,21.7371934837565,0.73719347034276
48,24.416590038998,0.91337530800991,22.2262902613189,0.748871876322136
50,25.4333765913939,0.951400585926892,22.7159107194961,0.760907409569496
52,26.4513303754275,0.989502571504898,23.2060546098207,0.773289127720928
54,27.4704427210793,1.02768416791361,23.6967216663589,0.786006339664696
56,28.490704944857,1.06594848916313,24.1879116057806,0.799048631030746
58,29.512108352846,1.10429879339437,24.6796241274294,0.812405884231092
60,30.5346442437582,1.14273842876377,25.1718589133978,0.826068293597839
62,31.5583039119731,1.18127078927092,25.6646156286045,0.840026376157326
64,32.5830786505587,1.21989927852961,26.157893920873,0.854270978556995
66,33.608959754267,1.25862727995755,26.6516934210137,0.868793280652049
68,34.6359385224917,1.29745813220968,27.1460137429071,0.883584796208639
70,35.664006262183,1.33639510893922,27.6408544835903,0.898637371155473
72,36.6931542907103,1.37544140216499,28.1362152233466,0.913943179776827
74,37.7233739386656,1.41460010867009,28.6320955257934,0.929494719200176
76,38.7546565526012,1.45387421896897,29.1284949379781,0.945284802490607
78,39.7869934976964,1.49326660846531,29.6254129904708,0.961306550639484
80,40.8203761603467,1.53278003048979,30.1228491974629,0.977553383685047
82,41.8547959506719,1.57241711095846,30.6208030568647,0.994019011184479
84,42.8902443049388,1.61218034443331,31.1192740504084,1.01069742221838
86,43.9267126878947,1.65207209139939,31.6182616437503,1.02758287509153
88,44.9641925950109,1.69209457659865,32.1177652865756,1.04466988685233
90,46.0026755546318,1.73224988828258,32.6177844127057,1.06195322275973
92,47.0421531300303,1.77253997826242,33.1183184402086,1.07942788577679
94,48.0826169213673,1.8129666626514,33.6193667715078,1.09708910617798
96,49.1240585675568,1.85353162320501,34.1209287934958,1.11493233132742
98,50.1664697480338,1.89423640917633,34.6230038776491,1.13295321568009
100,51.2098421844295,1.9350824396124,35.1255913801431,1.15114761104778
