strain	carbon_source	aMG	ACE	mu	qGLC	qACE	source
E_coli_K12_MG1655_wt	glucose	0	4.5567	0.6185	9.2807	0.5465	Enjalbert_2017
E_coli_K12_MG1655_wt	glucose	0	8.1016	0.5549	6.7372	-0.1368	Enjalbert_2017
E_coli_K12_MG1655_wt	glucose	0	8.2210	0.5648	7.1727	-0.3939	Enjalbert_2017
E_coli_K12_MG1655_wt	glucose	0	7.8296	0.5276	5.8842	-0.6102	Enjalbert_2017
E_coli_K12_MG1655_wt	glucose	0	33.5324	0.4350	5.6842	-1.1208	Enjalbert_2017
E_coli_K12_MG1655_wt	glucose	0	66.2036	0.3825	4.8116	-1.2775	Enjalbert_2017
E_coli_K12_MG1655_wt	glucose	0	0.4370	0.5836	9.6327	2.5743	Enjalbert_2017
E_coli_K12_MG1655_wt	glucose	0	1.2847	0.6209	8.0550	2.0519	Enjalbert_2017
E_coli_K12_MG1655_wt	glucose	0	1.5559	0.5643	9.7083	1.8284	Enjalbert_2017
E_coli_K12_MG1655_wt	glucose	0	12.0256	0.5321	7.1001	-1.2624	Enjalbert_2017
E_coli_K12_MG1655_wt	glucose	0	30.2457	0.4839	5.5058	-1.3180	Enjalbert_2017
E_coli_K12_MG1655_wt	glucose	0	0.5480	0.5571	9.2429	2.3336	Enjalbert_2017
E_coli_K12_MG1655_wt	glucose	0	2.2956	0.6307	8.1862	1.8523	Enjalbert_2017
E_coli_K12_MG1655_wt	glucose	40	0.2132	0.4057	8.1860	-0.0993	this_study
E_coli_K12_MG1655_wt	glucose	40	7.2470	0.4282	6.2095	-4.2201	this_study
E_coli_K12_MG1655_wt	glucose	40	10.6960	0.3934	6.5319	-5.0262	this_study
E_coli_K12_MG1655_wt	glucose	40	16.7314	0.4041	6.5782	-6.7906	this_study
E_coli_K12_MG1655_wt	glucose	40	24.4484	0.3475	5.6469	-6.9211	this_study
E_coli_K12_MG1655_wt	glucose	40	57.8808	0.3465	4.6105	-6.7029	this_study
E_coli_K12_MG1655_wt	glucose	40	128.7358	0.2929	5.0684	-7.6200	this_study
E_coli_K12_MG1655_wt	glucose	40	5.0467	0.4275	7.7161	-3.1248	this_study
E_coli_K12_MG1655_wt	glucose	40	9.9719	0.3750	6.1865	-4.2913	this_study
E_coli_K12_MG1655_wt	glucose	40	12.3571	0.3857	6.4085	-5.1143	this_study
E_coli_K12_MG1655_wt	glucose	40	18.1338	0.4163	6.5128	-6.5364	this_study
E_coli_K12_MG1655_wt	glucose	40	36.1861	0.4150	5.7393	-7.4400	this_study
E_coli_K12_MG1655_wt	glucose	40	84.0539	0.3617	4.5755	-6.1900	this_study
E_coli_K12_MG1655_wt	glucose	40	0.1023	0.4293			this_study
E_coli_K12_MG1655_wt	glucose	20	0.3244	0.5321	10.7961	1.9326	this_study
E_coli_K12_MG1655_wt	glucose	20	4.8294	0.4999	10.7192	-1.4643	this_study
E_coli_K12_MG1655_wt	glucose	20	9.4687	0.5165	12.3719	-3.0355	this_study
E_coli_K12_MG1655_wt	glucose	20	15.1743	0.4986	8.3723	-3.1791	this_study
E_coli_K12_MG1655_wt	glucose	20	0.3457	0.5340	9.8419	0.8420	this_study
E_coli_K12_MG1655_wt	glucose	40	1.0254	0.4127	8.9266	-0.9366	this_study
E_coli_K12_MG1655_wt	glucose	40	3.6490	0.4218	7.1276	-2.5834	this_study
E_coli_K12_MG1655_wt	glucose	100	0.6085	0.3300			this_study
E_coli_K12_MG1655_wt	glucose	20	0.6131	0.5321	8.6195	1.0113	this_study
E_coli_K12_MG1655_wt	glucose	20	0.6762	0.5442	7.1540	0.9277	this_study
E_coli_K12_MG1655_wt	glucose	20	1.0496	0.4969	7.2792	0.6006	this_study
E_coli_K12_MG1655_wt	glucose	20	0.3017	0.5040	6.9845	1.5562	this_study
E_coli_K12_MG1655_wt	glucose	20	1.4168	0.5392	6.7134	0.9466	this_study
E_coli_K12_MG1655_wt	glucose	20	3.3587	0.5094	6.3143	-1.2742	this_study
E_coli_K12_MG1655_wt	glucose	20	2.7246	0.5129	6.3473	-0.8527	this_study
E_coli_K12_MG1655_wt	glucose	20	2.5888	0.5211	6.0132	-0.3916	this_study
E_coli_K12_MG1655_wt	glucose	20	3.3768	0.5257	5.6709	-0.6222	this_study
E_coli_K12_MG1655_wt	glucose	20	3.7791	0.4999	8.3333	-1.0954	this_study
E_coli_K12_MG1655_wt	glucose	20	7.2792	0.5166	3.9721	-1.3046	this_study
E_coli_K12_MG1655_wt	glucose	20	10.9444	0.5000	5.8402	-2.6090	this_study
E_coli_K12_MG1655_wt	glucose	20	10.8406	0.5103	5.4476	-1.8783	this_study
E_coli_K12_MG1655_wt	glucose	20	21.2610	0.4817	5.1402	-2.7449	this_study
E_coli_K12_MG1655_wt	glucose	20	20.5239	0.4112	4.5637	-2.6624	this_study
E_coli_K12_MG1655_wt	glucose	20	51.9865	0.3925	3.5354	-2.2993	this_study
E_coli_K12_MG1655_wt	glucose	20	53.2813	0.3349	3.0865	-2.3574	this_study
E_coli_K12_MG1655_wt	glucose	20	88.4203	0.3221	3.3339	-3.2745	this_study
E_coli_K12_MG1655_wt	glucose	20	103.4735	0.2832	2.9913	-3.5335	this_study
