carbon source	strain	aMG	ace	delta_pH_mean	delta_pH_sd
glucose	wt	100	0	-0.266666666666667	0.0378593889720018
glucose	wt	100	10	-0.183333333333333	0.0305505046330389
glucose	wt	100	100	-0.133333333333333	0.0115470053837925
glucose	wt	0	0	-0.283333333333333	0.0611010092660779
glycerol	wt	0	0	-0.223333333333333	0.0709459888459759
glycerol	wt	0	10	-0.17	0.0435889894354067
galactose	wt	0	0	-0.19	0.0529150262212918
galactose	wt	0	10	-0.143333333333333	0.0251661147842358
