,strain,carbon_source,aMG,ACE,mu,qGLC,qACE,source
63,E_coli_K12_MG1655_wt,glucose,40,0.1023,0.4293,NA,NA,this_study
64,E_coli_K12_MG1655_wt,glucose,20,0.3244,0.5321,10.7961,1.9326,this_study
65,E_coli_K12_MG1655_wt,glucose,20,4.8294,0.4999,10.7192,-1.4643,this_study
66,E_coli_K12_MG1655_wt,glucose,20,9.4687,0.5165,12.3719,-3.0355,this_study
67,E_coli_K12_MG1655_wt,glucose,20,15.1743,0.4986,8.3723,-3.1791,this_study
68,E_coli_K12_MG1655_wt,glucose,20,0.3457,0.534,9.8419,0.842,this_study
69,E_coli_K12_MG1655_wt,glucose,40,1.0254,0.4127,8.9266,-0.9366,this_study
70,E_coli_K12_MG1655_wt,glucose,40,3.649,0.4218,7.1276,-2.5834,this_study
71,E_coli_K12_MG1655_wt,glucose,100,0.6085,0.33,NA,NA,this_study
72,E_coli_K12_MG1655_wt,glucose,20,0.6131,0.5321,8.6195,1.0113,this_study
73,E_coli_K12_MG1655_wt,glucose,20,0.6762,0.5442,7.154,0.9277,this_study
74,E_coli_K12_MG1655_wt,glucose,20,1.0496,0.4969,7.2792,0.6006,this_study
75,E_coli_K12_MG1655_wt,glucose,20,0.3017,0.504,6.9845,1.5562,this_study
76,E_coli_K12_MG1655_wt,glucose,20,1.4168,0.5392,6.7134,0.9466,this_study
77,E_coli_K12_MG1655_wt,glucose,20,3.3587,0.5094,6.3143,-1.2742,this_study
78,E_coli_K12_MG1655_wt,glucose,20,2.7246,0.5129,6.3473,-0.8527,this_study
79,E_coli_K12_MG1655_wt,glucose,20,2.5888,0.5211,6.0132,-0.3916,this_study
80,E_coli_K12_MG1655_wt,glucose,20,3.3768,0.5257,5.6709,-0.6222,this_study
81,E_coli_K12_MG1655_wt,glucose,20,3.7791,0.4999,8.3333,-1.0954,this_study
82,E_coli_K12_MG1655_wt,glucose,20,7.2792,0.5166,3.9721,-1.3046,this_study
83,E_coli_K12_MG1655_wt,glucose,20,10.9444,0.5,5.8402,-2.609,this_study
84,E_coli_K12_MG1655_wt,glucose,20,10.8406,0.5103,5.4476,-1.8783,this_study
85,E_coli_K12_MG1655_wt,glucose,20,21.261,0.4817,5.1402,-2.7449,this_study
86,E_coli_K12_MG1655_wt,glucose,20,20.5239,0.4112,4.5637,-2.6624,this_study
87,E_coli_K12_MG1655_wt,glucose,20,51.9865,0.3925,3.5354,-2.2993,this_study
88,E_coli_K12_MG1655_wt,glucose,20,53.2813,0.3349,3.0865,-2.3574,this_study
89,E_coli_K12_MG1655_wt,glucose,20,88.4203,0.3221,3.3339,-3.2745,this_study
90,E_coli_K12_MG1655_wt,glucose,20,103.4735,0.2832,2.9913,-3.5335,this_study
